sample_name,target_name,locus_id,ct_value,type
R-N2R2,HKludo01,LOC_Os06g11170,11.5800195840323,Reference
R-N2R3,HKludo01,LOC_Os06g11170,11.4221718753903,Reference
R-N3R1,HKludo01,LOC_Os06g11170,11.0015645580321,Reference
R-N3R2,HKludo01,LOC_Os06g11170,10.6207226624233,Reference
R-N3R3,HKludo01,LOC_Os06g11170,12.3610663235375,Reference
R-N4R1,HKludo01,LOC_Os06g11170,10.8281585672296,Reference
R-N4R2,HKludo01,LOC_Os06g11170,10.7025829160423,Reference
R-N4R3,HKludo01,LOC_Os06g11170,11.8139919732914,Reference
J-N1R1,HKludo02,LOC_Os06g48970,10.8727882110294,Reference
J-N1R2,HKludo02,LOC_Os06g48970,10.027618037607,Reference
J-N1R3,HKludo02,LOC_Os06g48970,10.0509907669121,Reference
J-N2R1,HKludo02,LOC_Os06g48970,11.1796950163877,Reference
J-N2R2,HKludo02,LOC_Os06g48970,9.91020169506483,Reference
J-N2R3,HKludo02,LOC_Os06g48970,9.78129229561276,Reference
J-N3R1,HKludo02,LOC_Os06g48970,10.4739349711914,Reference
J-N3R2,HKludo02,LOC_Os06g48970,10.3509365978449,Reference
J-N3R3,HKludo02,LOC_Os06g48970,10.6677736905828,Reference
J-N4R1,HKludo02,LOC_Os06g48970,10.0987704485294,Reference
J-N4R2,HKludo02,LOC_Os06g48970,10.8586813321415,Reference
J-N4R3,HKludo02,LOC_Os06g48970,9.36537212919756,Reference
G-N1R1,HKludo02,LOC_Os06g48970,10.4536557221034,Reference
G-N1R2,HKludo02,LOC_Os06g48970,10.6063488928892,Reference
G-N1R3,HKludo02,LOC_Os06g48970,10.1036211584551,Reference
G-N2R1,HKludo02,LOC_Os06g48970,10.2666150313287,Reference
G-N2R2,HKludo02,LOC_Os06g48970,10.1270948966288,Reference
G-N2R3,HKludo02,LOC_Os06g48970,10.1343072534431,Reference
G-N3R1,HKludo02,LOC_Os06g48970,10.8486822582515,Reference
G-N3R2,HKludo02,LOC_Os06g48970,10.1473669019102,Reference
G-N3R3,HKludo02,LOC_Os06g48970,9.81978937694294,Reference
G-N4R1,HKludo02,LOC_Os06g48970,10.1451927150136,Reference
G-N4R2,HKludo02,LOC_Os06g48970,10.7667181672565,Reference
G-N4R3,HKludo02,LOC_Os06g48970,10.4394306491161,Reference
B-N1R1,HKludo02,LOC_Os06g48970,10.812746357205,Reference
B-N1R2,HKludo02,LOC_Os06g48970,11.2519792434415,Reference
B-N1R3,HKludo02,LOC_Os06g48970,10.3547305885074,Reference
B-N2R1,HKludo02,LOC_Os06g48970,11.1542345500559,Reference
B-N2R2,HKludo02,LOC_Os06g48970,10.7564829094182,Reference
B-N2R3,HKludo02,LOC_Os06g48970,10.0324736897465,Reference
B-N3R1,HKludo02,LOC_Os06g48970,10.434344098183,Reference
B-N3R2,HKludo02,LOC_Os06g48970,10.1213578157499,Reference
B-N3R3,HKludo02,LOC_Os06g48970,9.74253618224264,Reference
